Function,Invocations(%),#Invocations
sigprocmask,0.1000000,510
getsockname,0.1000000,495
gethostname,0.1000000,481
fpathconf,0.1000000,455
pthread_attr_init,0.1000000,449
fdopen,0.1000000,431
getppid,0.1000000,422
ftello,0.1000000,378
sigfillset,0.1000000,368
getpeername,0.1000000,368
fputc,0.1000000,338
getgid,0.1000000,322
clock,0.1000000,316
pipe,0.1000000,302
pthread_detach,0.1000000,300
getegid,0.1000000,275
unlink,0.1000000,247
setvbuf,0.1000000,237
rewind,0.1000000,225
mkdir,0.1000000,220
getsockopt,0.1000000,219
pthread_attr_setdetachstate,0.1000000,215
getaddrinfo,0.1000000,196
freeaddrinfo,0.1000000,196
gmtime,0.1000000,183
fork,0.1000000,180
system,0.1000000,163
sendto,0.1000000,163
recvfrom,0.1000000,162
accept,0.1000000,149
ftruncate,0.1000000,147
bind,0.1000000,147
pthread_attr_getstack,0.1000000,142
shutdown,0.1000000,130
clock_nanosleep,0.1000000,128
shmctl,0.1000000,123
pthread_join,0.1000000,108
shmat,0.1000000,103
shmget,0.1000000,102
pthread_attr_setinheritsched,0.1000000,102
getpgrp,0.1000000,101
inet_pton,0.1000000,96
puts,0.1000000,94
sigaltstack,0.1000000,93
shm_unlink,0.1000000,92
pthread_attr_setstacksize,0.1000000,90
fsync,0.1000000,81
getpwuid,0.1000000,78
getline,0.1000000,78
popen,0.1000000,77
pclose,0.1000000,77
getgrgid,0.1000000,76
shmdt,0.1000000,67
getpwuid_r,0.1000000,67
rename,0.1000000,66
getrusage,0.1000000,62
waitpid,0.1000000,61
execve,0.1000000,61
clock_getres,0.1000000,59
pthread_attr_setguardsize,0.1000000,57
sigismember,0.1000000,51
chmod,0.1000000,51
socketpair,0.1000000,46
getpwnam_r,0.1000000,42
execv,0.1000000,42
posix_fadvise,0.1000000,41
fchdir,0.1000000,33
pthread_setschedparam,0.1000000,32
dup,0.1000000,27
pthread_attr_getschedpolicy,0.1000000,26
times,0.1000000,25
pthread_attr_setschedpolicy,0.1000000,25
pthread_getschedparam,0.1000000,24
remove,0.1000000,22
rmdir,0.1000000,16
wmemmove,0.1000000,14
utimes,0.1000000,14
putchar,0.1000000,13
pthread_setcanceltype,0.1000000,12
tcgetpgrp,0.1000000,11
setbuf,0.1000000,11
swab,0.1000000,10
pthread_exit,0.1000000,10
listen,0.1000000,10
cfgetospeed,0.1000000,10
sched_get_priority_min,0.1000000,9
sched_get_priority_max,0.1000000,9
pthread_attr_setscope,0.1000000,9
posix_fallocate,0.1000000,8
fchown,0.1000000,7
utime,0.1000000,6
truncate,0.1000000,6
tcgetattr,0.1000000,6
pthread_cancel,0.1000000,5
execvp,0.1000000,5
setitimer,0.1000000,4
pthread_attr_getstacksize,0.1000000,4
msync,0.1000000,4
getgrnam,0.1000000,4
freopen,0.1000000,4
faccessat,0.1000000,4
endpwent,0.1000000,4
chdir,0.1000000,4
symlink,0.1000000,3
setpgid,0.1000000,3
semop,0.1000000,3
semget,0.1000000,3
readdir_r,0.1000000,3
pthread_kill,0.1000000,3
pthread_attr_setschedparam,0.1000000,3
mlock,0.1000000,3
mkdtemp,0.1000000,3
link,0.1000000,3
fchmod,0.1000000,3
alarm,0.1000000,3
unlockpt,0.1000000,2
tcsetattr,0.1000000,2
setsid,0.1000000,2
seteuid,0.1000000,2
setegid,0.1000000,2
readv,0.1000000,2
raise,0.1000000,2
inet_addr,0.1000000,2
grantpt,0.1000000,2
statvfs,0.1000000,1
setuid,0.1000000,1
setgid,0.1000000,1
nice,0.1000000,1
inet_ntoa,0.1000000,1
getpwnam,0.1000000,1
fstatvfs,0.1000000,1
a64l,0,0
abort,0,0
abs,0,0
acos,0,0
acosf,0,0
acosh,0,0
acoshf,0,0
acoshl,0,0
acosl,0,0
aio_cancel,0,0
aio_error,0,0
aio_fsync,0,0
aio_read,0,0
aio_return,0,0
aio_suspend,0,0
aio_write,0,0
alphasort,0,0
asctime,0,0
asctime_r,0,0
asin,0,0
asinf,0,0
asinh,0,0
asinhf,0,0
asinhl,0,0
asinl,0,0
assert,0,0
atan,0,0
atan2,0,0
atan2f,0,0
atan2l,0,0
atanf,0,0
atanh,0,0
atanhf,0,0
atanhl,0,0
atanl,0,0
atexit,0,0
atof,0,0
atol,0,0
atoll,0,0
basename,0,0
bsearch,0,0
btowc,0,0
cabs,0,0
cabsf,0,0
cabsl,0,0
cacos,0,0
cacosf,0,0
cacosh,0,0
cacoshf,0,0
cacoshl,0,0
cacosl,0,0
carg,0,0
cargf,0,0
cargl,0,0
casin,0,0
casinf,0,0
casinh,0,0
casinhf,0,0
casinhl,0,0
casinl,0,0
catan,0,0
catanf,0,0
catanh,0,0
catanhf,0,0
catanhl,0,0
catanl,0,0
catclose,0,0
catgets,0,0
catopen,0,0
cbrt,0,0
cbrtf,0,0
cbrtl,0,0
ccos,0,0
ccosf,0,0
ccosh,0,0
ccoshf,0,0
ccoshl,0,0
ccosl,0,0
ceil,0,0
ceilf,0,0
ceill,0,0
cexp,0,0
cexpf,0,0
cexpl,0,0
cfgetispeed,0,0
cfsetispeed,0,0
cfsetospeed,0,0
chown,0,0
cimag,0,0
cimagf,0,0
cimagl,0,0
clock_getcpuclockid,0,0
clock_gettime,0,0
clock_settime,0,0
clog,0,0
clogf,0,0
clogl,0,0
closelog,0,0
confstr,0,0
conj,0,0
conjf,0,0
conjl,0,0
copysign,0,0
copysignf,0,0
copysignl,0,0
cos,0,0
cosf,0,0
cosh,0,0
coshf,0,0
coshl,0,0
cosl,0,0
cpow,0,0
cpowf,0,0
cpowl,0,0
cproj,0,0
cprojf,0,0
cprojl,0,0
creal,0,0
crealf,0,0
creall,0,0
creat,0,0
crypt,0,0
csin,0,0
csinf,0,0
csinh,0,0
csinhf,0,0
csinhl,0,0
csinl,0,0
csqrt,0,0
csqrtf,0,0
csqrtl,0,0
ctan,0,0
ctanf,0,0
ctanh,0,0
ctanhf,0,0
ctanhl,0,0
ctanl,0,0
